pueblos, centrales, tiempo
50000, 1, 35560000
50000, 3001, 36390000
50000, 6001, 36080000
50000, 9001, 36360000
50000, 12001, 36510000
50000, 15001, 35840000
50000, 18001, 36140000
50000, 21001, 36310000
50000, 24001, 36090000
50000, 27001, 36230000
50000, 30001, 36030000
50000, 33001, 36150000
50000, 36001, 36170000
50000, 39001, 36110000
50000, 42001, 36020000
50000, 45001, 36180000
50000, 48001, 36190000
50000, 51001, 36220000
50000, 54001, 36040000
50000, 57001, 36400000
50000, 60001, 35820000
50000, 63001, 36020000
50000, 66001, 36160000
50000, 69001, 36230000
50000, 72001, 35500000
50000, 75001, 36220000
50000, 78001, 36260000
50000, 81001, 35980000
50000, 84001, 36300000
50000, 87001, 36190000
50000, 90001, 36640000
50000, 93001, 36320000
50000, 96001, 36270000
50000, 99001, 36240000
50100, 1, 36410000
50100, 3001, 36220000
50100, 6001, 36430000
50100, 9001, 36040000
50100, 12001, 36120000
50100, 15001, 36430000
50100, 18001, 36030000
50100, 21001, 36110000
50100, 24001, 36360000
50100, 27001, 36530000
50100, 30001, 36050000
50100, 33001, 36050000
50100, 36001, 36520000
50100, 39001, 36330000
50100, 42001, 36420000
50100, 45001, 36530000
50100, 48001, 36430000
50100, 51001, 36440000
50100, 54001, 36430000
50100, 57001, 36410000
50100, 60001, 36530000
50100, 63001, 36440000
50100, 66001, 36260000
50100, 69001, 36620000
50100, 72001, 36400000
50100, 75001, 36260000
50100, 78001, 36450000
50100, 81001, 36340000
50100, 84001, 36460000
50100, 87001, 36340000
50100, 90001, 36300000
50100, 93001, 36070000
50100, 96001, 36410000
50100, 99001, 36410000
50200, 1, 36590000
50200, 3001, 36390000
50200, 6001, 36520000
50200, 9001, 36440000
50200, 12001, 36710000
50200, 15001, 36550000
50200, 18001, 36700000
50200, 21001, 36500000
50200, 24001, 36820000
50200, 27001, 36520000
50200, 30001, 36490000
50200, 33001, 36390000
50200, 36001, 36570000
50200, 39001, 36430000
50200, 42001, 36420000
50200, 45001, 36760000
50200, 48001, 36400000
50200, 51001, 36050000
50200, 54001, 36490000
50200, 57001, 36150000
50200, 60001, 36530000
50200, 63001, 36910000
50200, 66001, 36520000
50200, 69001, 36370000
50200, 72001, 36660000
50200, 75001, 36700000
50200, 78001, 36120000
50200, 81001, 36290000
50200, 84001, 36630000
50200, 87001, 36010000
50200, 90001, 36210000
50200, 93001, 36240000
50200, 96001, 36260000
50200, 99001, 36990000
50300, 1, 36740000
50300, 3001, 36160000
50300, 6001, 36350000
50300, 9001, 36510000
50300, 12001, 36250000
50300, 15001, 36530000
50300, 18001, 36840000
50300, 21001, 36760000
50300, 24001, 36260000
50300, 27001, 36620000
50300, 30001, 36750000
50300, 33001, 36730000
50300, 36001, 36800000
50300, 39001, 36460000
50300, 42001, 36670000
50300, 45001, 36810000
50300, 48001, 36490000
50300, 51001, 36420000
50300, 54001, 36520000
50300, 57001, 36720000
50300, 60001, 36530000
50300, 63001, 36550000
50300, 66001, 36740000
50300, 69001, 36740000
50300, 72001, 36640000
50300, 75001, 36510000
50300, 78001, 36680000
50300, 81001, 36710000
50300, 84001, 36380000
50300, 87001, 36470000
50300, 90001, 36770000
50300, 93001, 36790000
50300, 96001, 36840000
50300, 99001, 36610000
50400, 1, 36870000
50400, 3001, 36760000
50400, 6001, 36850000
50400, 9001, 36840000
50400, 12001, 36850000
50400, 15001, 36490000
50400, 18001, 36790000
50400, 21001, 36580000
50400, 24001, 36710000
50400, 27001, 36730000
50400, 30001, 36410000
50400, 33001, 36450000
50400, 36001, 36720000
50400, 39001, 36830000
50400, 42001, 36890000
50400, 45001, 36810000
50400, 48001, 36800000
50400, 51001, 36650000
50400, 54001, 36800000
50400, 57001, 36710000
50400, 60001, 36850000
50400, 63001, 36520000
50400, 66001, 36730000
50400, 69001, 36670000
50400, 72001, 36760000
50400, 75001, 36780000
50400, 78001, 37330000
50400, 81001, 36940000
50400, 84001, 36640000
50400, 87001, 36350000
50400, 90001, 36850000
50400, 93001, 36820000
50400, 96001, 36900000
50400, 99001, 36780000
50500, 1, 37070000
50500, 3001, 36970000
50500, 6001, 37110000
50500, 9001, 37490000
50500, 12001, 36930000
50500, 15001, 36650000
50500, 18001, 37120000
50500, 21001, 36860000
50500, 24001, 36680000
50500, 27001, 37000000
50500, 30001, 36820000
50500, 33001, 36900000
50500, 36001, 37070000
50500, 39001, 36990000
50500, 42001, 37170000
50500, 45001, 37120000
50500, 48001, 36920000
50500, 51001, 36190000
50500, 54001, 36980000
50500, 57001, 36790000
50500, 60001, 36740000
50500, 63001, 37050000
50500, 66001, 37100000
50500, 69001, 36850000
50500, 72001, 36630000
50500, 75001, 37120000
50500, 78001, 37170000
50500, 81001, 37050000
50500, 84001, 36910000
50500, 87001, 37070000
50500, 90001, 37110000
50500, 93001, 36580000
50500, 96001, 36980000
50500, 99001, 37160000
50600, 1, 36620000
50600, 3001, 37400000
50600, 6001, 37410000
50600, 9001, 36970000
50600, 12001, 37000000
50600, 15001, 37290000
50600, 18001, 37180000
50600, 21001, 36990000
50600, 24001, 37230000
50600, 27001, 37080000
50600, 30001, 36790000
50600, 33001, 36580000
50600, 36001, 37080000
50600, 39001, 37260000
50600, 42001, 37040000
50600, 45001, 37200000
50600, 48001, 37410000
50600, 51001, 37140000
50600, 54001, 36810000
50600, 57001, 36690000
50600, 60001, 37000000
50600, 63001, 37100000
50600, 66001, 36820000
50600, 69001, 36480000
50600, 72001, 37980000
50600, 75001, 36380000
50600, 78001, 36940000
50600, 81001, 36990000
50600, 84001, 37120000
50600, 87001, 37040000
50600, 90001, 36730000
50600, 93001, 37490000
50600, 96001, 36860000
50600, 99001, 36780000
50700, 1, 36960000
50700, 3001, 37240000
50700, 6001, 36910000
50700, 9001, 37380000
