n	k	tiempo
25	0	10000
25	1	10000
25	2	20000
25	3	20000
25	4	10000
25	5	20000
25	6	30000
25	7	30000
25	8	30000
25	9	40000
25	10	50000
25	11	50000
25	12	50000
25	13	50000
25	14	60000
25	15	40000
25	16	60000
25	17	60000
25	18	70000
25	19	80000
25	20	70000
25	21	80000
25	22	80000
25	23	90000
25	24	90000
25	25	110000
26	1	20000
26	2	20000
26	3	20000
26	4	20000
26	5	30000
26	6	40000
26	7	20000
26	8	40000
26	9	40000
26	10	50000
26	11	60000
26	12	60000
26	13	50000
26	14	60000
26	15	90000
26	16	70000
26	17	80000
26	18	80000
26	19	90000
26	20	90000
26	21	90000
26	22	90000
26	23	100000
26	24	110000
26	25	100000
26	26	120000
27	0	10000
27	1	10000
27	2	20000
27	3	30000
27	4	30000
27	5	30000
27	6	30000
27	7	30000
27	8	50000
27	9	40000
27	10	50000
27	11	60000
27	12	50000
27	13	60000
27	14	60000
27	15	70000
27	16	80000
27	17	80000
27	18	100000
27	19	90000
27	20	90000
27	21	100000
27	22	110000
27	23	110000
27	24	110000
27	25	120000
27	26	120000
27	27	120000
28	0	10000
28	1	20000
28	2	20000
28	3	20000
28	4	20000
28	5	40000
28	6	30000
28	7	40000
28	8	50000
28	9	60000
28	10	60000
28	11	60000
28	12	80000
28	13	70000
28	14	80000
28	15	80000
28	16	90000
28	17	90000
28	18	90000
28	19	110000
28	20	110000
28	21	120000
28	22	110000
28	23	130000
28	24	120000
28	25	130000
28	26	140000
28	27	150000
28	28	150000
29	0	10000
29	1	20000
29	2	20000
29	3	20000
29	4	40000
29	5	40000
29	6	40000
29	7	50000
29	8	50000
29	9	60000
29	10	70000
29	11	70000
29	12	70000
29	13	70000
29	14	90000
29	15	90000
29	16	100000
29	17	100000
29	18	110000
29	19	110000
29	20	120000
29	21	130000
29	22	130000
29	23	140000
29	24	140000
29	25	150000
29	26	150000
29	27	160000
29	28	160000
29	29	170000
30	0	10000
30	1	20000
30	2	20000
30	3	30000
30	4	20000
30	5	30000
30	6	40000
30	7	40000
30	8	50000
30	9	60000
30	10	60000
30	11	70000
30	12	80000
30	13	80000
30	14	90000
30	15	100000
30	16	100000
30	17	110000
30	18	120000
30	19	120000
30	20	120000
30	21	140000
30	22	140000
30	23	140000
30	24	150000
30	25	160000
30	26	150000
30	27	170000
30	28	180000
30	29	190000
30	30	200000
31	0	10000
31	1	20000
31	2	30000
31	3	20000
31	4	30000
31	5	40000
31	6	50000
31	7	40000
31	8	60000
31	9	60000
31	10	70000
31	11	80000
31	12	90000
31	13	90000
31	14	110000
31	15	100000
31	16	110000
31	17	120000
31	18	130000
31	19	130000
31	20	140000
31	21	150000
31	22	160000
31	23	170000
31	24	170000
31	25	180000
31	26	180000
31	27	190000
31	28	200000
31	29	200000
31	30	210000
31	31	210000
32	0	10000
32	1	20000
32	2	20000
32	3	20000
32	4	30000
32	5	40000
32	6	50000
32	7	60000
32	8	60000
32	9	80000
32	10	80000
32	11	90000
32	12	100000
32	13	100000
32	14	110000
32	15	120000
32	16	130000
32	17	120000
32	18	140000
32	19	150000
32	20	160000
32	21	170000
32	22	170000
32	23	180000
32	24	190000
32	25	190000
32	26	190000
32	27	210000
